ticker,symbol,quant_score,rank,shortlisted,momentum_score,liquidity_score,quality_score,value_score,technical_score,fno_score,events_score
SBIN.NS,SBIN,68.74,1,True,64.5,77.5,47.75,91.875,77.75,50.0,70.0
ICICIBANK.NS,ICICIBANK,65.17,2,True,59.0,90.0,53.25,67.875,67.25,50.0,70.0
BAJFINANCE.NS,BAJFINANCE,64.71,3,True,80.5,70.0,57.75,43.875,73.0,50.0,50.0
KOTAKBANK.NS,KOTAKBANK,63.29,4,True,47.0,62.5,80.25,70.125,64.0,50.0,70.0
INFY.NS,INFY,60.84,5,True,44.5,90.0,47.5,67.125,71.0,50.0,70.0
TITAN.NS,TITAN,60.0,6,True,97.5,30.0,48.75,6.5,96.0,50.0,70.0
HCLTECH.NS,HCLTECH,58.99,7,True,75.0,37.5,44.75,58.875,72.25,50.0,70.0
NESTLEIND.NS,NESTLEIND,57.62,8,True,79.0,37.5,67.5,8.5,76.5,50.0,70.0
LT.NS,LT,56.9,9,True,68.0,42.5,51.75,35.5,79.0,50.0,70.0
RELIANCE.NS,RELIANCE,54.62,10,True,32.5,77.5,54.0,57.75,62.75,50.0,70.0
TCS.NS,TCS,52.45,11,True,46.0,57.5,50.25,50.0,58.5,50.0,70.0
NTPC.NS,NTPC,52.18,12,True,30.5,40.0,54.75,90.0,54.0,50.0,70.0
AXISBANK.NS,AXISBANK,52.16,13,True,30.5,62.5,46.75,88.125,43.94782106680566,50.0,70.0
SUNPHARMA.NS,SUNPHARMA,51.59,14,True,53.0,37.5,72.0,26.5,62.25,50.0,50.0
MARUTI.NS,MARUTI,50.56,15,True,56.0,30.000000000000004,65.25,42.0,44.75,50.0,70.0
HDFCBANK.NS,HDFCBANK,49.34,16,True,9.5,100.0,46.5,79.875,31.224359642021568,50.0,70.0
ADANIENT.NS,ADANIENT,47.6,17,True,65.0,22.5,48.0,29.0,53.5,50.0,70.0
WIPRO.NS,WIPRO,47.01,18,True,28.0,50.0,32.25,73.0,60.75,50.0,70.0
ASIANPAINT.NS,ASIANPAINT,45.41,19,True,57.0,15.0,61.5,15.0,55.75,50.0,70.0
DRREDDY.NS,DRREDDY,36.41,20,True,27.0,20.0,19.5,48.5,63.25,50.0,70.0
